   0.00000000      -1.00000000    
  0.100000001     -0.895170748    
  0.200000003     -0.781397283    
  0.300000012     -0.659816265    
  0.400000006     -0.531642675    
  0.500000000     -0.398157001    
  0.600000024     -0.260693133    
  0.699999988     -0.120624542    
  0.800000012       2.06493735E-02
  0.900000036      0.161716998    
   1.00000000      0.301168680    
   1.10000002      0.437611312    
   1.20000005      0.569681406    
   1.30000007      0.696059465    
   1.39999998      0.815482557    
   1.50000000      0.926757812    
   1.60000002       1.02877319    
   1.70000005       1.12050939    
   1.80000007       1.20104980    
   1.89999998       1.26958966    
   2.00000000       1.32544422    
   2.10000014       1.36805558    
   2.20000005       1.39699745    
   2.29999995       1.41198123    
   2.40000010       1.41285694    
   2.50000000       1.39961576    
   2.60000014       1.37239003    
   2.70000005       1.33145201    
   2.79999995       1.27721047    
   2.90000010       1.21020746    
   3.00000000       1.13111246    
   3.10000014       1.04071569    
   3.20000005      0.939920604    
   3.29999995      0.829734147    
   3.40000010      0.711256981    
   3.50000000      0.585673451    
   3.60000014      0.454237819    
   3.70000005      0.318263829    
   3.79999995      0.179109931    
   3.90000010       3.81659865E-02
   4.00000000     -0.103158891    
   4.09999990     -0.243453026    
   4.20000029     -0.381315321    
   4.30000019     -0.515367031    
   4.40000010     -0.644269347    
   4.50000000     -0.766734302    
   4.59999990     -0.881538332    
   4.70000029     -0.987534940    
   4.80000019      -1.08366382    
   4.90000010      -1.16896510    
   5.00000000      -1.24258649    
   5.09999990      -1.30379248    
   5.20000029      -1.35197139    
   5.30000019      -1.38664186    
   5.40000010      -1.40745735    
   5.50000000      -1.41421008    
   5.59999990      -1.40683246    
   5.70000029      -1.38539815    
   5.80000019      -1.35012162    
   5.90000010      -1.30135512    
   6.00000000      -1.23958576    
   6.09999990      -1.16543102    
   6.20000029      -1.07963121    
   6.30000019     -0.983044505    
   6.40000010     -0.876635611    
   6.50000000     -0.761467695    
   6.59999990     -0.638691366    
   6.70000029     -0.509532869    
   6.80000019     -0.375283897    
   6.90000010     -0.237285197    
   7.00000000      -9.69156623E-02
   7.09999990       4.44222689E-02
   7.20000029      0.185316920    
   7.30000019      0.324359417    
   7.40000010      0.460160911    
   7.50000000      0.591364622    
   7.59999990      0.716659725    
   7.70000029      0.834794700    
   7.80000019      0.944588125    
   7.90000010       1.04494357    
   8.00000000       1.13485825    
   8.10000038       1.21343422    
   8.19999981       1.27988529    
   8.30000019       1.33354878    
   8.40000057       1.37388778    
   8.50000000       1.40049911    
   8.60000038       1.41311717    
   8.69999981       1.41161585    
   8.80000019       1.39601016    
   8.90000057       1.36645579    
   9.00000000       1.32324874    
   9.10000038       1.26681972    
   9.19999981       1.19773364    
   9.30000019       1.11667955    
   9.40000057       1.02446795    
   9.50000000      0.922021031    
   9.60000038      0.810360670    
   9.69999981      0.690604448    
   9.80000019      0.563946843    
   9.90000057      0.431654513    
   10.0000000      0.295050383    
